"TIME","GEO","WASTE","WST_OPER","UNIT","Value","Flag and Footnotes"
"1998","Germany (until 1990 former territory of the FRG)","Packaging","Recovery","Kilograms per capita","139.85",""
"1998","Germany (until 1990 former territory of the FRG)","Packaging","Recovery","Tonne","11,473,900",""
"1998","Estonia","Packaging","Waste generated","Kilograms per capita",":",""
"1998","Estonia","Packaging","Waste generated","Tonne",":",""
"1998","Estonia","Packaging","Recovery","Kilograms per capita",":",""
"1998","Estonia","Packaging","Recovery","Tonne",":",""
"1998","Ireland","Packaging","Waste generated","Kilograms per capita","183.88",""
"1998","Ireland","Packaging","Waste generated","Tonne","682,688",""
"1998","Ireland","Packaging","Recovery","Kilograms per capita","27.18",""
"1998","Ireland","Packaging","Recovery","Tonne","100,904",""
"1998","Greece","Packaging","Waste generated","Kilograms per capita","74.14",""
"1998","Greece","Packaging","Waste generated","Tonne","794,800",""
"1998","Greece","Packaging","Recovery","Kilograms per capita","25.68",""
"1998","Greece","Packaging","Recovery","Tonne","275,300",""
"1998","Spain","Packaging","Waste generated","Kilograms per capita","157.08",""
"1998","Spain","Packaging","Waste generated","Tonne","6,318,358",""
"1998","Spain","Packaging","Recovery","Kilograms per capita","58.57",""
"1998","Spain","Packaging","Recovery","Tonne","2,355,903",""
"1998","France","Packaging","Waste generated","Kilograms per capita","193.87",""
"1998","France","Packaging","Waste generated","Tonne","11,641,000",""
"1998","France","Packaging","Recovery","Kilograms per capita","108.52",""
"1998","France","Packaging","Recovery","Tonne","6,516,000",""
"1998","Croatia","Packaging","Waste generated","Kilograms per capita",":",""
"1998","Croatia","Packaging","Waste generated","Tonne",":",""
"1998","Croatia","Packaging","Recovery","Kilograms per capita",":",""
"1998","Croatia","Packaging","Recovery","Tonne",":",""
"1998","Italy","Packaging","Waste generated","Kilograms per capita","190.59",""
"1998","Italy","Packaging","Waste generated","Tonne","10,846,000",""
"1998","Italy","Packaging","Recovery","Kilograms per capita","64.3",""
"1998","Italy","Packaging","Recovery","Tonne","3,658,940",""
"1998","Cyprus","Packaging","Waste generated","Kilograms per capita",":",""
"1998","Cyprus","Packaging","Waste generated","Tonne",":",""
"1998","Cyprus","Packaging","Recovery","Kilograms per capita",":",""
"1998","Cyprus","Packaging","Recovery","Tonne",":",""
"1998","Latvia","Packaging","Waste generated","Kilograms per capita",":",""
"1998","Latvia","Packaging","Waste generated","Tonne",":",""
"1998","Latvia","Packaging","Recovery","Kilograms per capita",":",""
"1998","Latvia","Packaging","Recovery","Tonne",":",""
"1998","Lithuania","Packaging","Waste generated","Kilograms per capita",":",""
"1998","Lithuania","Packaging","Waste generated","Tonne",":",""
"1998","Lithuania","Packaging","Recovery","Kilograms per capita",":",""
"1998","Lithuania","Packaging","Recovery","Tonne",":",""
"1998","Luxembourg","Packaging","Waste generated","Kilograms per capita","182.47",""
"1998","Luxembourg","Packaging","Waste generated","Tonne","77,496",""
"1998","Luxembourg","Packaging","Recovery","Kilograms per capita","93.46",""
"1998","Luxembourg","Packaging","Recovery","Tonne","39,692",""
"1998","Hungary","Packaging","Waste generated","Kilograms per capita",":",""
"1998","Hungary","Packaging","Waste generated","Tonne",":",""
"1998","Hungary","Packaging","Recovery","Kilograms per capita",":",""
"1998","Hungary","Packaging","Recovery","Tonne",":",""
"1998","Malta","Packaging","Waste generated","Kilograms per capita",":",""
"1998","Malta","Packaging","Waste generated","Tonne",":",""
"1998","Malta","Packaging","Recovery","Kilograms per capita",":",""
"1998","Malta","Packaging","Recovery","Tonne",":",""
"1998","Netherlands","Packaging","Waste generated","Kilograms per capita","160.75",""
"1998","Netherlands","Packaging","Waste generated","Tonne","2,525,000",""
"1998","Netherlands","Packaging","Recovery","Kilograms per capita","135.35",""
"1998","Netherlands","Packaging","Recovery","Tonne","2,126,000",""
"1998","Austria","Packaging","Waste generated","Kilograms per capita","139.78",""
"1998","Austria","Packaging","Waste generated","Tonne","1,115,000",""
"1998","Austria","Packaging","Recovery","Kilograms per capita","97.41",""
"1998","Austria","Packaging","Recovery","Tonne","777,000",""
"1998","Poland","Packaging","Waste generated","Kilograms per capita",":",""
"1998","Poland","Packaging","Waste generated","Tonne",":",""
"1998","Poland","Packaging","Recovery","Kilograms per capita",":",""
"1998","Poland","Packaging","Recovery","Tonne",":",""
"1998","Portugal","Packaging","Waste generated","Kilograms per capita","100.89",""
"1998","Portugal","Packaging","Waste generated","Tonne","1,025,025",""
"1998","Portugal","Packaging","Recovery","Kilograms per capita","35.15",""
"1998","Portugal","Packaging","Recovery","Tonne","357,118",""
"1998","Romania","Packaging","Waste generated","Kilograms per capita",":",""
"1998","Romania","Packaging","Waste generated","Tonne",":",""
"1998","Romania","Packaging","Recovery","Kilograms per capita",":",""
"1998","Romania","Packaging","Recovery","Tonne",":",""
"1998","Slovenia","Packaging","Waste generated","Kilograms per capita",":",""
"1998","Slovenia","Packaging","Waste generated","Tonne",":",""
"1998","Slovenia","Packaging","Recovery","Kilograms per capita",":",""
"1998","Slovenia","Packaging","Recovery","Tonne",":",""
"1998","Slovakia","Packaging","Waste generated","Kilograms per capita",":",""
"1998","Slovakia","Packaging","Waste generated","Tonne",":",""
"1998","Slovakia","Packaging","Recovery","Kilograms per capita",":",""
"1998","Slovakia","Packaging","Recovery","Tonne",":",""
"1998","Finland","Packaging","Waste generated","Kilograms per capita","82.29",""
"1998","Finland","Packaging","Waste generated","Tonne","424,100",""
"1998","Finland","Packaging","Recovery","Kilograms per capita","45.64",""
"1998","Finland","Packaging","Recovery","Tonne","235,200",""
"1998","Sweden","Packaging","Waste generated","Kilograms per capita","107.92",""
"1998","Sweden","Packaging","Waste generated","Tonne","955,200",""
"1998","Sweden","Packaging","Recovery","Kilograms per capita","88.27",""
"1998","Sweden","Packaging","Recovery","Tonne","781,300",""
"1998","Iceland","Packaging","Waste generated","Kilograms per capita",":",""
"1998","Iceland","Packaging","Waste generated","Tonne",":",""
"1998","Iceland","Packaging","Recovery","Kilograms per capita",":",""
"1998","Iceland","Packaging","Recovery","Tonne",":",""
"1998","Liechtenstein","Packaging","Waste generated","Kilograms per capita",":",""
"1998","Liechtenstein","Packaging","Waste generated","Tonne",":",""
"1998","Liechtenstein","Packaging","Recovery","Kilograms per capita",":",""
"1998","Liechtenstein","Packaging","Recovery","Tonne",":",""
"1998","Norway","Packaging","Waste generated","Kilograms per capita",":",""
"1998","Norway","Packaging","Waste generated","Tonne",":",""
"1998","Norway","Packaging","Recovery","Kilograms per capita",":",""
"1998","Norway","Packaging","Recovery","Tonne",":",""
"1998","United Kingdom","Packaging","Waste generated","Kilograms per capita","175.15",""
"1998","United Kingdom","Packaging","Waste generated","Tonne","10,244,000",""
"1998","United Kingdom","Packaging","Recovery","Kilograms per capita","57.08",""
"1998","United Kingdom","Packaging","Recovery","Tonne","3,338,705",""
"1999","Belgium","Packaging","Waste generated","Kilograms per capita","144.51",""
"1999","Belgium","Packaging","Waste generated","Tonne","1,477,830",""
"1999","Belgium","Packaging","Recovery","Kilograms per capita","102.6",""
"1999","Belgium","Packaging","Recovery","Tonne","1,049,190",""
"1999","Bulgaria","Packaging","Waste generated","Kilograms per capita",":",""
"1999","Bulgaria","Packaging","Waste generated","Tonne",":",""
"1999","Bulgaria","Packaging","Recovery","Kilograms per capita",":",""
"1999","Bulgaria","Packaging","Recovery","Tonne",":",""
"1999","Czechia","Packaging","Waste generated","Kilograms per capita",":",""
"1999","Czechia","Packaging","Waste generated","Tonne",":",""
"1999","Czechia","Packaging","Recovery","Kilograms per capita",":",""
"1999","Czechia","Packaging","Recovery","Tonne",":",""
"1999","Denmark","Packaging","Waste generated","Kilograms per capita","158.98",""
"1999","Denmark","Packaging","Waste generated","Tonne","846,061",""
"1999","Denmark","Packaging","Recovery","Kilograms per capita","145.83",""
"1999","Denmark","Packaging","Recovery","Tonne","776,083",""
"1999","Germany (until 1990 former territory of the FRG)","Packaging","Waste generated","Kilograms per capita","178.16",""
"1999","Germany (until 1990 former territory of the FRG)","Packaging","Waste generated","Tonne","14,626,800",""
"1999","Germany (until 1990 former territory of the FRG)","Packaging","Recovery","Kilograms per capita","143.21",""
"1999","Germany (until 1990 former territory of the FRG)","Packaging","Recovery","Tonne","11,757,900",""
"1999","Estonia","Packaging","Waste generated","Kilograms per capita",":",""
"1999","Estonia","Packaging","Waste generated","Tonne",":",""
"1999","Estonia","Packaging","Recovery","Kilograms per capita",":",""
"1999","Estonia","Packaging","Recovery","Tonne",":",""
"1999","Ireland","Packaging","Waste generated","Kilograms per capita","187.5",""
"1999","Ireland","Packaging","Waste generated","Tonne","704,038",""
"1999","Ireland","Packaging","Recovery","Kilograms per capita","32.65",""
"1999","Ireland","Packaging","Recovery","Tonne","122,586",""
"1999","Greece","Packaging","Waste generated","Kilograms per capita","79.49",""
"1999","Greece","Packaging","Waste generated","Tonne","855,500",""
"1999","Greece","Packaging","Recovery","Kilograms per capita","26.72",""
"1999","Greece","Packaging","Recovery","Tonne","287,500",""
"1999","Spain","Packaging","Waste generated","Kilograms per capita","154.51",""
"1999","Spain","Packaging","Waste generated","Tonne","6,239,979",""
"1999","Spain","Packaging","Recovery","Kilograms per capita","64.81",""
"1999","Spain","Packaging","Recovery","Tonne","2,617,446",""
"1999","France","Packaging","Waste generated","Kilograms per capita","198.82",""
"1999","France","Packaging","Waste generated","Tonne","11,999,000",""
"1999","France","Packaging","Recovery","Kilograms per capita","113.47",""
"1999","France","Packaging","Recovery","Tonne","6,848,000",""
"1999","Croatia","Packaging","Waste generated","Kilograms per capita",":",""
"1999","Croatia","Packaging","Waste generated","Tonne",":",""
"1999","Croatia","Packaging","Recovery","Kilograms per capita",":",""
"1999","Croatia","Packaging","Recovery","Tonne",":",""
"1999","Italy","Packaging","Waste generated","Kilograms per capita","195.41",""
"1999","Italy","Packaging","Waste generated","Tonne","11,122,000",""
"1999","Italy","Packaging","Recovery","Kilograms per capita","71.66",""
"1999","Italy","Packaging","Recovery","Tonne","4,078,640",""
"1999","Cyprus","Packaging","Waste generated","Kilograms per capita",":",""
"1999","Cyprus","Packaging","Waste generated","Tonne",":",""
"1999","Cyprus","Packaging","Recovery","Kilograms per capita",":",""
"1999","Cyprus","Packaging","Recovery","Tonne",":",""
"1999","Latvia","Packaging","Waste generated","Kilograms per capita",":",""
"1999","Latvia","Packaging","Waste generated","Tonne",":",""
"1999","Latvia","Packaging","Recovery","Kilograms per capita",":",""
"1999","Latvia","Packaging","Recovery","Tonne",":",""
"1999","Lithuania","Packaging","Waste generated","Kilograms per capita",":",""
"1999","Lithuania","Packaging","Waste generated","Tonne",":",""
"1999","Lithuania","Packaging","Recovery","Kilograms per capita",":",""
"1999","Lithuania","Packaging","Recovery","Tonne",":",""
"1999","Luxembourg","Packaging","Waste generated","Kilograms per capita","182.38",""
"1999","Luxembourg","Packaging","Waste generated","Tonne","78,511",""
"1999","Luxembourg","Packaging","Recovery","Kilograms per capita","78.63",""
"1999","Luxembourg","Packaging","Recovery","Tonne","33,847",""
"1999","Hungary","Packaging","Waste generated","Kilograms per capita",":",""
"1999","Hungary","Packaging","Waste generated","Tonne",":",""
"1999","Hungary","Packaging","Recovery","Kilograms per capita",":",""
"1999","Hungary","Packaging","Recovery","Tonne",":",""
"1999","Malta","Packaging","Waste generated","Kilograms per capita",":",""
"1999","Malta","Packaging","Waste generated","Tonne",":",""
"1999","Malta","Packaging","Recovery","Kilograms per capita",":",""
